complex_id,exhaustiveness,box_size,num_modes_per_run,seed,input_index,num_inputs,inputs_complete,elapsed_seconds,timing_found,log_path
A71EV2A-x1346a,32,25,40,1880307061,1,1,True,40.234,True,A71EV2A-x1346a/gnina/redock/exh_32_boxsize_25_num-mode_40/seed_1880307061/A71EV2A-x1346a_1.log
A71EV2A-x1346a,32,25,40,2012026466,1,1,True,38.236,True,A71EV2A-x1346a/gnina/redock/exh_32_boxsize_25_num-mode_40/seed_2012026466/A71EV2A-x1346a_1.log
A71EV2A-x1445a,8,25,8,1370180479,1,5,True,9.188,True,A71EV2A-x1445a/gnina/redock/exh_8_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x1445a_1.log
A71EV2A-x1445a,8,25,8,1370180479,2,5,True,10.093,True,A71EV2A-x1445a/gnina/redock/exh_8_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x1445a_2.log
A71EV2A-x1445a,8,25,8,1370180479,3,5,True,10.597,True,A71EV2A-x1445a/gnina/redock/exh_8_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x1445a_3.log
A71EV2A-x1445a,8,25,8,1370180479,4,5,True,9.543,True,A71EV2A-x1445a/gnina/redock/exh_8_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x1445a_4.log
A71EV2A-x1445a,8,25,8,1370180479,5,5,True,10.091,True,A71EV2A-x1445a/gnina/redock/exh_8_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x1445a_5.log
A71EV2A-x1445a,8,25,40,1370180479,1,1,True,9.446,True,A71EV2A-x1445a/gnina/redock/exh_8_boxsize_25_num-mode_40/seed_1370180479/A71EV2A-x1445a_1.log
A71EV2A-x1445a,8,25,40,1449838082,1,1,True,7.935,True,A71EV2A-x1445a/gnina/redock/exh_8_boxsize_25_num-mode_40/seed_1449838082/A71EV2A-x1445a_1.log
A71EV2A-x1445a,8,25,40,1832854922,1,1,True,7.391,True,A71EV2A-x1445a/gnina/redock/exh_8_boxsize_25_num-mode_40/seed_1832854922/A71EV2A-x1445a_1.log
A71EV2A-x1445a,8,25,40,1880307061,1,1,True,7.828,True,A71EV2A-x1445a/gnina/redock/exh_8_boxsize_25_num-mode_40/seed_1880307061/A71EV2A-x1445a_1.log
A71EV2A-x1445a,8,25,40,2012026466,1,1,True,7.593,True,A71EV2A-x1445a/gnina/redock/exh_8_boxsize_25_num-mode_40/seed_2012026466/A71EV2A-x1445a_1.log
A71EV2A-x1445a,16,25,8,1370180479,1,5,True,13.651,True,A71EV2A-x1445a/gnina/redock/exh_16_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x1445a_1.log
A71EV2A-x1445a,16,25,8,1370180479,2,5,True,13.708,True,A71EV2A-x1445a/gnina/redock/exh_16_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x1445a_2.log
A71EV2A-x1445a,16,25,8,1370180479,3,5,True,13.597,True,A71EV2A-x1445a/gnina/redock/exh_16_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x1445a_3.log
A71EV2A-x1445a,16,25,8,1370180479,4,5,True,13.771,True,A71EV2A-x1445a/gnina/redock/exh_16_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x1445a_4.log
A71EV2A-x1445a,16,25,8,1370180479,5,5,True,13.826,True,A71EV2A-x1445a/gnina/redock/exh_16_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x1445a_5.log
A71EV2A-x1445a,16,25,40,1370180479,1,1,True,11.075,True,A71EV2A-x1445a/gnina/redock/exh_16_boxsize_25_num-mode_40/seed_1370180479/A71EV2A-x1445a_1.log
A71EV2A-x1445a,16,25,40,1449838082,1,1,True,11.404,True,A71EV2A-x1445a/gnina/redock/exh_16_boxsize_25_num-mode_40/seed_1449838082/A71EV2A-x1445a_1.log
A71EV2A-x1445a,16,25,40,1832854922,1,1,True,11.588,True,A71EV2A-x1445a/gnina/redock/exh_16_boxsize_25_num-mode_40/seed_1832854922/A71EV2A-x1445a_1.log
A71EV2A-x1445a,16,25,40,1880307061,1,1,True,11.555,True,A71EV2A-x1445a/gnina/redock/exh_16_boxsize_25_num-mode_40/seed_1880307061/A71EV2A-x1445a_1.log
A71EV2A-x1445a,16,25,40,2012026466,1,1,True,11.383,True,A71EV2A-x1445a/gnina/redock/exh_16_boxsize_25_num-mode_40/seed_2012026466/A71EV2A-x1445a_1.log
A71EV2A-x1445a,32,25,8,1370180479,1,5,True,15.34,True,A71EV2A-x1445a/gnina/redock/exh_32_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x1445a_1.log
A71EV2A-x1445a,32,25,8,1370180479,2,5,True,15.192,True,A71EV2A-x1445a/gnina/redock/exh_32_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x1445a_2.log
A71EV2A-x1445a,32,25,8,1370180479,3,5,True,15.222,True,A71EV2A-x1445a/gnina/redock/exh_32_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x1445a_3.log
A71EV2A-x1445a,32,25,8,1370180479,4,5,True,15.297,True,A71EV2A-x1445a/gnina/redock/exh_32_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x1445a_4.log
A71EV2A-x1445a,32,25,8,1370180479,5,5,True,15.396,True,A71EV2A-x1445a/gnina/redock/exh_32_boxsize_25_num-mode_8/seed_1370180479/A71EV2A-x1445a_5.log
A71EV2A-x1445a,32,25,40,1370180479,1,1,True,16.682,True,A71EV2A-x1445a/gnina/redock/exh_32_boxsize_25_num-mode_40/seed_1370180479/A71EV2A-x1445a_1.log
