strategy,exhaustiveness,top_n,rmsd_threshold,lddt_threshold,n_total,n_replicates,rmsd_pct,rmsd_sd,rmsd_min,rmsd_max,rmsd_pb_pct,rmsd_pb_sd,rmsd_pb_min,rmsd_pb_max,strict_pct,strict_sd,strict_min,strict_max,n_with_predictions,n_rmsd,n_rmsd_pb,n_strict
single,16,40,2.0,0.8,802,5,68.65336658354114,0.5754603869932349,67.95511221945137,69.45137157107231,68.50374064837905,0.5548278169897018,67.83042394014963,69.32668329177058,49.62593516209476,0.5064861848276776,49.00249376558604,50.37406483790524,,,,
seeds5,16,40,2.0,0.8,802,1,80.67331670822942,0.0,80.67331670822942,80.67331670822942,80.54862842892769,0.0,80.54862842892769,80.54862842892769,61.4713216957606,0.0,61.4713216957606,61.4713216957606,802.0,647.0,646.0,493.0
conformers5,16,40,2.0,0.8,802,1,93.89027431421447,0.0,93.89027431421447,93.89027431421447,93.89027431421447,0.0,93.89027431421447,93.89027431421447,87.4064837905237,0.0,87.4064837905237,87.4064837905237,802.0,753.0,753.0,701.0
single,32,1,2.0,0.8,802,5,48.97755610972568,1.123579084894645,47.880299251870326,50.62344139650873,48.87780548628429,1.097681849230611,47.880299251870326,50.49875311720698,39.72568578553616,0.6146512490706335,39.02743142144639,40.52369077306733,,,,
seeds5,32,1,2.0,0.8,802,1,52.49376558603491,0.0,52.49376558603491,52.49376558603491,52.244389027431424,0.0,52.244389027431424,52.244389027431424,43.01745635910225,0.0,43.01745635910225,43.01745635910225,802.0,421.0,419.0,345.0
conformers5,32,1,2.0,0.8,802,1,72.06982543640898,0.0,72.06982543640898,72.06982543640898,72.06982543640898,0.0,72.06982543640898,72.06982543640898,68.82793017456359,0.0,68.82793017456359,68.82793017456359,802.0,578.0,578.0,552.0
single,32,25,2.0,0.8,802,5,72.9426433915212,0.8683533838643501,71.94513715710723,74.06483790523691,72.74314214463841,0.8930675600733161,71.69576059850374,73.81546134663341,53.86533665835411,0.8317745675889234,52.86783042394015,54.98753117206982,,,,
seeds5,32,25,2.0,0.8,802,1,81.29675810473816,0.0,81.29675810473816,81.29675810473816,81.04738154613466,0.0,81.04738154613466,81.04738154613466,62.718204488778056,0.0,62.718204488778056,62.718204488778056,802.0,652.0,650.0,503.0
conformers5,32,25,2.0,0.8,802,1,96.00997506234414,0.0,96.00997506234414,96.00997506234414,96.00997506234414,0.0,96.00997506234414,96.00997506234414,91.02244389027432,0.0,91.02244389027432,91.02244389027432,802.0,770.0,770.0,730.0
single,32,40,2.0,0.8,802,5,73.01745635910223,0.848430216269527,72.06982543640898,74.18952618453865,72.81795511221944,0.868353383864346,71.82044887780549,73.94014962593516,53.86533665835411,0.8317745675889234,52.86783042394015,54.98753117206982,,,,
seeds5,32,40,2.0,0.8,802,1,83.54114713216957,0.0,83.54114713216957,83.54114713216957,83.29177057356608,0.0,83.29177057356608,83.29177057356608,64.214463840399,0.0,64.214463840399,64.214463840399,802.0,670.0,668.0,515.0
conformers5,32,40,2.0,0.8,802,1,96.25935162094763,0.0,96.25935162094763,96.25935162094763,96.25935162094763,0.0,96.25935162094763,96.25935162094763,91.02244389027432,0.0,91.02244389027432,91.02244389027432,802.0,772.0,772.0,730.0
