source,exhaustiveness,ensemble_size,top_n,rmsd_threshold,lddt_threshold,mean,std,minimum,maximum,n_subsets
seeds,16,4,5,2.0,0.8,51.745635910224436,0.3942989601207461,51.12219451371571,52.119700748129674,5
seeds,16,5,1,2.0,0.8,42.26932668329177,,42.26932668329177,42.26932668329177,1
seeds,16,5,5,2.0,0.8,49.87531172069826,,49.87531172069826,49.87531172069826,1
seeds,32,1,1,2.0,0.8,39.72568578553616,0.6146512490706325,39.02743142144639,40.52369077306733,5
seeds,32,1,5,2.0,0.8,51.920199501246884,0.8887047222546369,50.748129675810475,52.86783042394015,5
seeds,32,2,1,2.0,0.8,41.50872817955112,0.44937781947715866,40.64837905236908,42.14463840399002,10
seeds,32,2,5,2.0,0.8,53.902743142144644,0.641333719816608,52.86783042394015,54.86284289276808,10
seeds,32,3,1,2.0,0.8,42.38154613466334,0.2965263338609662,41.895261845386536,42.768079800498754,10
seeds,32,3,5,2.0,0.8,54.10224438902743,0.6064461003149125,53.11720698254364,54.98753117206982,10
seeds,32,4,1,2.0,0.8,42.81795511221945,0.22650750778784423,42.51870324189526,43.01745635910225,5
seeds,32,4,5,2.0,0.8,54.43890274314215,0.3698852113264637,53.86533665835412,54.86284289276808,5
seeds,32,5,1,2.0,0.8,43.01745635910225,,43.01745635910225,43.01745635910225,1
seeds,32,5,5,2.0,0.8,52.49376558603491,,52.49376558603491,52.49376558603491,1
